,yt_title,comment
202,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Incredible Music For the Last Time
203,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"My favorite thing about this is how high quality the armors are. Like, they're more historically accurate and seem better made than 99% of the armors I've seen in movies."
204,bbno$ & Rich Brian - edamame (Official Video) - YouTube,unexpected but most definitely appreciated. banger incoming
205,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"🔥🔥🔥 !!!
Why does this give me such TMG songs vibes ?!"
206,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"giving me some ""with out me"" vibes"
207,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I can't stop listening to this song, the beat and rhythm are so addicted. Hope someone can explain the lyrics"
208,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"The begging where he opens his helmet and says ""balls"" always gets me xD"
209,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"This song and “Love Me” by Lukaz are literally the only two things getting me through these hard times, thank god for music! I love you guys. <3"
210,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I’m addicted to this song.
211,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I really love how all his music starts with the best beat.
212,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I'm not really into hip hop but this one hits different, so fucking addictive"
213,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I wondered the budget needed to make this 😂
214,bbno$ & Rich Brian - edamame (Official Video) - YouTube,They look like they had a lot of fun making this
215,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The only bad thing about this song is that it ends.
216,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I did not expect to see gravy here but oddly enough he fits
217,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Just wanted to brag that the dance mix version of this song is on a local radio station in sw mo and my kids are losing their minds 😆
218,bbno$ & Rich Brian - edamame (Official Video) - YouTube,why is this guy soo underrated?????
219,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Fun fact: Gravy actually shot lightning out of his middle fingers. There were no edits😁
